Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Closing_Price_Diff
2017-03-20,611.23375,611.57,612.61249,610.8025,-0.33625000000006366
2017-03-21,618.445,611.23375,618.445,610.84124,7.211250000000064
2017-03-22,615.59625,618.445,619.4575,615.58375,-2.8487499999999955
2017-03-23,616.91625,615.59625,617.06625,615.095,1.3199999999999363
2017-03-24,619.3275,616.91625,619.35749,614.8225,2.4112499999999955
2017-03-25,638.21624,619.3275,641.89874,619.3275,18.888739999999984
2017-03-26,638.73625,638.21624,639.90125,635.06625,0.5200100000000702
2017-03-27,636.88375,638.73625,638.75375,634.81625,-1.8525000000000773
2017-03-28,639.975,636.88375,640.65,632.96,3.091250000000059
2017-03-29,639.605,639.975,640.98125,637.05375,-0.37000000000000455
2017-03-30,637.635,639.605,642.1525,637.58624,-1.9700000000000273
2017-03-31,638.01625,637.635,639.62625,636.86249,0.38125000000002274
2017-04-01,635.605,638.01625,638.76374,633.7675,-2.4112499999999955
2017-04-02,627.36875,635.605,637.36249,626.27625,-8.236250000000041
2017-04-03,630.61249,627.36875,630.91,627.36625,3.2437400000000025
2017-04-04,631.61875,630.61249,633.30125,629.10125,1.0062599999999975
2017-04-05,651.895,631.61875,655.79999,631.4425,20.276250000000005
2017-04-06,648.69375,651.895,654.49375,646.91999,-3.201249999999959
2017-04-07,653.235,648.69375,653.84124,646.49375,4.541249999999991
2017-04-08,658.05625,653.235,659.86749,647.6925,4.821249999999964
2017-04-09,685.3775,658.05625,686.21375,657.39125,27.321250000000077
2017-04-10,685.2975,685.3775,687.73,679.02125,-0.08000000000004093
2017-04-11,701.135,685.2975,702.0125,682.42125,15.837499999999977
2017-04-12,705.91,701.135,719.73375,693.21,4.774999999999977
2017-04-13,694.89625,705.91,710.9875,683.08375,-11.013749999999959
2017-04-14,709.955,694.89625,711.44125,694.4425,15.058750000000032
2017-04-15,726.6925,709.955,736.8275,708.8325,16.737499999999955
2017-04-16,742.84875,726.6925,745.01875,720.6325,16.15625
2017-04-17,702.21875,742.84875,745.89375,674.73125,-40.629999999999995
2017-04-18,703.175,702.21875,707.3,688.97375,0.9562499999999545
2017-04-19,706.47875,703.175,707.42125,697.6625,3.3037500000000364
2017-04-20,706.47125,706.47875,715.55875,700.865,-0.007499999999936335
2017-04-21,707.13375,706.47125,708.58875,701.03,0.662499999999909
